code,fish,Tonnage2015,Tonnage2016,Tonnage2017,Tonnage2018,Tonnage2019,Value2015,Value2016,Value2017,Value2018,Value2019
Peterhead,Gurnards,195.16,169.71,138.35,193.11,287.05,79.98,75.98,59.43,84.54,287.22
Peterhead,Haddock,18547.24,18106.55,17373.98,16197.59,15804.20,25296.14,24284.78,26040.11,23720.59,23342.93
Peterhead,Hake,3804.66,5514.06,5538.13,4838.12,3855.82,4971.79,8600.13,11037.72,9651.48,8989.43
Peterhead,Halibut,29.08,70.22,112.27,134.02,147.77,237.37,497.97,775.38,915.01,1009.28
Peterhead,Lemon sole,274.93,338.26,283.23,278.30,318.54,914.50,1305.64,1212.35,1213.60,1302.96
Peterhead,Ling,1015.62,1395.24,1650.72,1934.57,1571.84,1240.77,2024.25,2715.48,2971.23,2571.37
Peterhead,Megrims,388.48,457.94,449.68,532.00,426.45,908.69,1276.51,1338.83,1479.72,1117.85
Peterhead,Monkfish,2199.66,3268.68,3200.29,2999.10,2217.97,5490.95,9535.15,9861.05,10014.92,7331.55
Peterhead,Plaice,856.88,1110.17,829.19,881.73,682.66,634.67,1129.11,1020.52,1575.47,1137.58
Peterhead,Pollack,388.86,296.69,379.25,372.57,379.91,681.05,703.71,1000.66,1094.36,1145.82
Peterhead,Redfish,63.09,29.33,16.94,41.27,314.76,113.12,49.79,30.48,64.50,51.93
Peterhead,Saithe,11382.78,10480.30,8653.61,14350.37,12415.03,10335.37,11783.65,8588.36,11486.51,12351.40
Peterhead,Sandeels,0.00,0.00,4712.59,3871.86,1707.40,0.00,0.00,834.50,842.64,440.03
Peterhead,Skates and rays,57.69,57.09,74.89,113.38,85.14,42.91,51.92,71.25,96.29,59.70
Peterhead,Turbot,26.89,20.70,24.76,26.07,22.36,206.56,165.79,199.77,242.60,207.00
Peterhead,Tusk,21.53,28.65,27.26,32.19,28.22,17.52,21.78,21.14,28.35,25.85
Peterhead,Whiting,5350.64,5344.26,5076.60,5543.63,6467.90,5927.25,5981.44,6709.58,7510.51,8624.58
Peterhead,Witches,207.02,286.26,352.70,419.12,361.32,232.71,367.37,432.83,529.56,536.19
Peterhead,Other demersal,240.05,388.70,76.51,26.78,28.03,349.00,371.44,93.69,53.28,55.21
Peterhead,Total demersal,54805.84,58314.74,59955.74,64493.04,57136.40,76273.25,91029.57,97425.10,100452.32,93558.51
Peterhead,Blue whiting,12149.70,11908.16,13117.23,17229.41,14694.67,1994.01,2352.11,1587.97,3157.64,2799.37
Peterhead,Herring,20720.72,28571.85,25821.50,27936.34,20927.07,7188.49,18648.44,10659.25,10220.73,9984.36
Peterhead,Horse mackerel,619.94,209.85,0.22,201.33,474.90,433.57,150.04,0.25,229.33,288.78
Peterhead,Mackerel,46655.88,56818.12,60467.47,56750.30,47611.04,29488.01,48492.94,54763.53,60143.35,58915.01
Peterhead,Other pelagic,0.00,771.49,0.10,610.46,0.02,0.00,269.13,0.04,140.08,0.00
Peterhead,Total pelagic,80146.24,98279.47,99406.51,102727.85,83707.70,39104.08,69912.65,67011.03,73891.13,71987.51
Peterhead,Edible crabs,184.07,279.69,235.47,289.48,310.01,227.17,353.29,406.76,761.09,825.85
Peterhead,Nephrops,887.78,1080.79,1934.14,1511.37,4429.19,3454.01,5118.85,7484.12,5074.36,13753.25
Peterhead,Scallops,1690.77,2384.56,1628.00,598.06,639.11,3514.55,5695.04,4254.18,1569.65,1449.43
Peterhead,Squid,242.69,300.29,419.03,334.34,451.19,750.10,1214.09,1659.37,1324.11,1875.29
Peterhead,Other shellfish,118.26,108.44,98.60,38.98,45.42,498.50,455.16,741.93,299.71,324.01
Peterhead,Total shellfish,3123.57,4153.77,4315.24,2772.23,5874.91,8444.32,12836.43,14546.36,9028.93,18227.83
Peterhead,Total landings,138075.65,160747.97,163677.49,169993.12,146719.01,123821.65,173778.64,178982.49,183372.38,183773.85
